0/7000   19/10/2554 200 OK
3641/7000   30/10/2544 200 OK
3642/7000   29/10/2544 200 OK
3643/7000   28/10/2544 200 OK
3644/7000   27/10/2544 200 OK
3645/7000   26/10/2544 200 OK
3646/7000   25/10/2544 200 OK
3647/7000   24/10/2544 200 OK
3648/7000   23/10/2544 200 OK
3649/7000   22/10/2544 200 OK
3650/7000   21/10/2544 200 OK
3651/7000   20/10/2544 200 OK
3652/7000   19/10/2544 200 OK
3653/7000   18/10/2544 200 OK
3654/7000   17/10/2544 200 OK
3655/7000   16/10/2544 200 OK
3656/7000   15/10/2544 200 OK
3657/7000   14/10/2544 200 OK
3658/7000   13/10/2544 200 OK
3659/7000   12/10/2544 200 OK
3660/7000   11/10/2544 200 OK
3661/7000   10/10/2544 200 OK
3662/7000   9/10/2544 200 OK
3663/7000   8/10/2544 200 OK
3664/7000   7/10/2544 200 OK
3665/7000   6/10/2544 200 OK
3666/7000   5/10/2544 200 OK
3667/7000   4/10/2544 200 OK
3668/7000   3/10/2544 200 OK
3669/7000   2/10/2544 200 OK
3670/7000   1/10/2544 200 OK
3671/7000   30/9/2544 200 OK
3672/7000   29/9/2544 200 OK
3673/7000   28/9/2544 200 OK
3674/7000   27/9/2544 200 OK
3675/7000   26/9/2544 200 OK
3676/7000   25/9/2544 200 OK
3677/7000   24/9/2544 200 OK
3678/7000   23/9/2544 200 OK
3679/7000   22/9/2544 200 OK
3680/7000   21/9/2544 200 OK
3681/7000   20/9/2544 200 OK
3682/7000   19/9/2544 200 OK
3683/7000   18/9/2544 200 OK
3684/7000   17/9/2544 200 OK
3685/7000   16/9/2544 200 OK
3686/7000   15/9/2544 200 OK
3687/7000   14/9/2544 200 OK
3688/7000   13/9/2544 200 OK
3689/7000   12/9/2544 200 OK
3690/7000   11/9/2544 200 OK
3691/7000   10/9/2544 200 OK
3692/7000   9/9/2544 200 OK
3693/7000   8/9/2544 200 OK
3694/7000   7/9/2544 200 OK
3695/7000   6/9/2544 200 OK
3696/7000   5/9/2544 200 OK
3697/7000   4/9/2544 200 OK
3698/7000   3/9/2544 200 OK
3699/7000   2/9/2544 200 OK
3700/7000   1/9/2544 200 OK
3701/7000   31/8/2544 200 OK
3702/7000   30/8/2544 200 OK
3703/7000   29/8/2544 200 OK
3704/7000   28/8/2544 200 OK
3705/7000   27/8/2544 200 OK
3706/7000   26/8/2544 200 OK
3707/7000   25/8/2544 200 OK
3708/7000   24/8/2544 200 OK
3709/7000   23/8/2544 200 OK
3710/7000   22/8/2544 200 OK
3711/7000   21/8/2544 200 OK
3712/7000   20/8/2544 200 OK
3713/7000   19/8/2544 200 OK
3714/7000   18/8/2544 200 OK
3715/7000   17/8/2544 200 OK
3716/7000   16/8/2544 200 OK
3717/7000   15/8/2544 200 OK
3718/7000   14/8/2544 200 OK
3719/7000   13/8/2544 200 OK
3720/7000   12/8/2544 200 OK
3721/7000   11/8/2544 200 OK
3722/7000   10/8/2544 200 OK
3723/7000   9/8/2544 200 OK
3724/7000   8/8/2544 200 OK
3725/7000   7/8/2544 200 OK
3726/7000   6/8/2544 200 OK
3727/7000   5/8/2544 200 OK
3728/7000   4/8/2544 200 OK
3729/7000   3/8/2544 200 OK
3730/7000   2/8/2544 200 OK
3731/7000   1/8/2544 200 OK
3732/7000   31/7/2544 200 OK
3733/7000   30/7/2544 200 OK
3734/7000   29/7/2544 200 OK
3735/7000   28/7/2544 200 OK
3736/7000   27/7/2544 200 OK
3737/7000   26/7/2544 200 OK
3738/7000   25/7/2544 200 OK
3739/7000   24/7/2544 200 OK
3740/7000   23/7/2544 200 OK
3741/7000   22/7/2544 200 OK
3742/7000   21/7/2544 200 OK
3743/7000   20/7/2544 200 OK
3744/7000   19/7/2544 200 OK
3745/7000   18/7/2544 200 OK
3746/7000   17/7/2544 200 OK
3747/7000   16/7/2544 200 OK
3748/7000   15/7/2544 200 OK
3749/7000   14/7/2544 200 OK
3750/7000   13/7/2544 200 OK
3751/7000   12/7/2544 200 OK
3752/7000   11/7/2544 200 OK
3753/7000   10/7/2544 200 OK
3754/7000   9/7/2544 200 OK
3755/7000   8/7/2544 200 OK
3756/7000   7/7/2544 200 OK
3757/7000   6/7/2544 200 OK
3758/7000   5/7/2544 200 OK
3759/7000   4/7/2544 200 OK
3760/7000   3/7/2544 200 OK
3761/7000   2/7/2544 200 OK
3762/7000   1/7/2544 200 OK
3763/7000   30/6/2544 200 OK
3764/7000   29/6/2544 200 OK
3765/7000   28/6/2544 200 OK
3766/7000   27/6/2544 200 OK
3767/7000   26/6/2544 200 OK
3768/7000   25/6/2544 200 OK
3769/7000   24/6/2544 200 OK
3770/7000   23/6/2544 200 OK
3771/7000   22/6/2544 200 OK
3772/7000   21/6/2544 200 OK
3773/7000   20/6/2544 200 OK
3774/7000   19/6/2544 200 OK
3775/7000   18/6/2544 200 OK
3776/7000   17/6/2544 200 OK
3777/7000   16/6/2544 200 OK
3778/7000   15/6/2544 200 OK
3779/7000   14/6/2544 200 OK
3780/7000   13/6/2544 200 OK
3781/7000   12/6/2544 200 OK
3782/7000   11/6/2544 200 OK
3783/7000   10/6/2544 200 OK
3784/7000   9/6/2544 200 OK
3785/7000   8/6/2544 200 OK
3786/7000   7/6/2544 200 OK
3787/7000   6/6/2544 200 OK
3788/7000   5/6/2544 200 OK
3789/7000   4/6/2544 200 OK
3790/7000   3/6/2544 200 OK
3791/7000   2/6/2544 200 OK
3792/7000   1/6/2544 200 OK
3793/7000   31/5/2544 200 OK
3794/7000   30/5/2544 200 OK
3795/7000   29/5/2544 200 OK
3796/7000   28/5/2544 200 OK
3797/7000   27/5/2544 200 OK
3798/7000   26/5/2544 200 OK
3799/7000   25/5/2544 200 OK
3800/7000   24/5/2544 200 OK
3801/7000   23/5/2544 200 OK
3802/7000   22/5/2544 200 OK
3803/7000   21/5/2544 200 OK
3804/7000   20/5/2544 200 OK
3805/7000   19/5/2544 200 OK
3806/7000   18/5/2544 200 OK
3807/7000   17/5/2544 200 OK
3808/7000   16/5/2544 200 OK
3809/7000   15/5/2544 200 OK
3810/7000   14/5/2544 200 OK
3811/7000   13/5/2544 200 OK
3812/7000   12/5/2544 200 OK
3813/7000   11/5/2544 200 OK
3814/7000   10/5/2544 200 OK
3815/7000   9/5/2544 200 OK
3816/7000   8/5/2544 200 OK
3817/7000   7/5/2544 200 OK
3818/7000   6/5/2544 200 OK
3819/7000   5/5/2544 200 OK
3820/7000   4/5/2544 200 OK
3821/7000   3/5/2544 200 OK
3822/7000   2/5/2544 200 OK
3823/7000   1/5/2544 200 OK
3824/7000   30/4/2544 200 OK
3825/7000   29/4/2544 200 OK
3826/7000   28/4/2544 200 OK
3827/7000   27/4/2544 200 OK
3828/7000   26/4/2544 200 OK
3829/7000   25/4/2544 200 OK
3830/7000   24/4/2544 200 OK
3831/7000   23/4/2544 200 OK
3832/7000   22/4/2544 200 OK
3833/7000   21/4/2544 200 OK
3834/7000   20/4/2544 200 OK
3835/7000   19/4/2544 200 OK
3836/7000   18/4/2544 200 OK
3837/7000   17/4/2544 200 OK
3838/7000   16/4/2544 200 OK
3839/7000   15/4/2544 200 OK
3840/7000   14/4/2544 200 OK
3841/7000   13/4/2544 200 OK
3842/7000   12/4/2544 200 OK
3843/7000   11/4/2544 200 OK
3844/7000   10/4/2544 200 OK
3845/7000   9/4/2544 200 OK
3846/7000   8/4/2544 200 OK
3847/7000   7/4/2544 200 OK
3848/7000   6/4/2544 200 OK
3849/7000   5/4/2544 200 OK
3850/7000   4/4/2544 200 OK
3851/7000   3/4/2544 200 OK
3852/7000   2/4/2544 200 OK
3853/7000   1/4/2544 200 OK
3854/7000   31/3/2544 200 OK
3855/7000   30/3/2544 200 OK
3856/7000   29/3/2544 200 OK
3857/7000   28/3/2544 200 OK
3858/7000   27/3/2544 200 OK
3859/7000   26/3/2544 200 OK
3860/7000   25/3/2544 200 OK
3861/7000   24/3/2544 200 OK
3862/7000   23/3/2544 200 OK
3863/7000   22/3/2544 200 OK
3864/7000   21/3/2544 200 OK
3865/7000   20/3/2544 200 OK
3866/7000   19/3/2544 200 OK
3867/7000   18/3/2544 200 OK
3868/7000   17/3/2544 200 OK
3869/7000   16/3/2544 200 OK
3870/7000   15/3/2544 200 OK
3871/7000   14/3/2544 200 OK
3872/7000   13/3/2544 200 OK
3873/7000   12/3/2544 200 OK
3874/7000   11/3/2544 200 OK
3875/7000   10/3/2544 200 OK
3876/7000   9/3/2544 200 OK
3877/7000   8/3/2544 200 OK
3878/7000   7/3/2544 200 OK
3879/7000   6/3/2544 200 OK
3880/7000   5/3/2544 200 OK
3881/7000   4/3/2544 200 OK
3882/7000   3/3/2544 200 OK
3883/7000   2/3/2544 200 OK
3884/7000   1/3/2544 200 OK
3885/7000   28/2/2544 200 OK
3886/7000   27/2/2544 200 OK
3887/7000   26/2/2544 200 OK
3888/7000   25/2/2544 200 OK
3889/7000   24/2/2544 200 OK
3890/7000   23/2/2544 200 OK
3891/7000   22/2/2544 200 OK
3892/7000   21/2/2544 200 OK
3893/7000   20/2/2544 200 OK
3894/7000   19/2/2544 200 OK
3895/7000   18/2/2544 200 OK
3896/7000   17/2/2544 200 OK
3897/7000   16/2/2544 200 OK
3898/7000   15/2/2544 200 OK
3899/7000   14/2/2544 200 OK
3900/7000   13/2/2544 200 OK
3901/7000   12/2/2544 200 OK
3902/7000   11/2/2544 200 OK
3903/7000   10/2/2544 200 OK
3904/7000   9/2/2544 200 OK
3905/7000   8/2/2544 200 OK
3906/7000   7/2/2544 200 OK
3907/7000   6/2/2544 200 OK
3908/7000   5/2/2544 200 OK
3909/7000   4/2/2544 200 OK
3910/7000   3/2/2544 200 OK
3911/7000   2/2/2544 200 OK
3912/7000   1/2/2544 200 OK
3913/7000   31/1/2544 200 OK
3914/7000   30/1/2544 200 OK
3915/7000   29/1/2544 200 OK
3916/7000   28/1/2544 200 OK
3917/7000   27/1/2544 200 OK
3918/7000   26/1/2544 200 OK
3919/7000   25/1/2544 200 OK
3920/7000   24/1/2544 200 OK
3921/7000   23/1/2544 200 OK
3922/7000   22/1/2544 200 OK
3923/7000   21/1/2544 200 OK
3924/7000   20/1/2544 200 OK
3925/7000   19/1/2544 200 OK
3926/7000   18/1/2544 200 OK
3927/7000   17/1/2544 200 OK
3928/7000   16/1/2544 200 OK
3929/7000   15/1/2544 200 OK
3930/7000   14/1/2544 200 OK
3931/7000   13/1/2544 200 OK
3932/7000   12/1/2544 200 OK
3933/7000   11/1/2544 200 OK
3934/7000   10/1/2544 200 OK
3935/7000   9/1/2544 200 OK
3936/7000   8/1/2544 200 OK
3937/7000   7/1/2544 200 OK
3938/7000   6/1/2544 200 OK
3939/7000   5/1/2544 200 OK
3940/7000   4/1/2544 200 OK
3941/7000   3/1/2544 200 OK
3942/7000   2/1/2544 200 OK
3943/7000   1/1/2544 200 OK
3944/7000   31/12/2543 200 OK
3945/7000   30/12/2543 200 OK
3946/7000   29/12/2543 200 OK
3947/7000   28/12/2543 200 OK
3948/7000   27/12/2543 200 OK
3949/7000   26/12/2543 200 OK
3950/7000   25/12/2543 200 OK
3951/7000   24/12/2543 200 OK
3952/7000   23/12/2543 200 OK
3953/7000   22/12/2543 200 OK
3954/7000   21/12/2543 200 OK
3955/7000   20/12/2543 200 OK
3956/7000   19/12/2543 200 OK
3957/7000   18/12/2543 200 OK
3958/7000   17/12/2543 200 OK
3959/7000   16/12/2543 200 OK
3960/7000   15/12/2543 200 OK
3961/7000   14/12/2543 200 OK
3962/7000   13/12/2543 200 OK
3963/7000   12/12/2543 200 OK
3964/7000   11/12/2543 200 OK
3965/7000   10/12/2543 200 OK
3966/7000   9/12/2543 200 OK
3967/7000   8/12/2543 200 OK
3968/7000   7/12/2543 200 OK
3969/7000   6/12/2543 200 OK
3970/7000   5/12/2543 200 OK
3971/7000   4/12/2543 200 OK
3972/7000   3/12/2543 200 OK
3973/7000   2/12/2543 200 OK
3974/7000   1/12/2543 200 OK
3975/7000   30/11/2543 200 OK
3976/7000   29/11/2543 200 OK
3977/7000   28/11/2543 200 OK
3978/7000   27/11/2543 200 OK
3979/7000   26/11/2543 200 OK
3980/7000   25/11/2543 200 OK
3981/7000   24/11/2543 200 OK
3982/7000   23/11/2543 200 OK
3983/7000   22/11/2543 200 OK
3984/7000   21/11/2543 200 OK
3985/7000   20/11/2543 200 OK
3986/7000   19/11/2543 200 OK
3987/7000   18/11/2543 200 OK
3988/7000   17/11/2543 200 OK
3989/7000   16/11/2543 200 OK
3990/7000   15/11/2543 200 OK
3991/7000   14/11/2543 200 OK
3992/7000   13/11/2543 200 OK
3993/7000   12/11/2543 200 OK
3994/7000   11/11/2543 200 OK
3995/7000   10/11/2543 200 OK
3996/7000   9/11/2543 200 OK
3997/7000   8/11/2543 200 OK
3998/7000   7/11/2543 200 OK
3999/7000   6/11/2543 200 OK
4000/7000   5/11/2543 200 OK
4001/7000   4/11/2543 200 OK
4002/7000   3/11/2543 200 OK
4003/7000   2/11/2543 200 OK
4004/7000   1/11/2543 200 OK
4005/7000   31/10/2543 200 OK
4006/7000   30/10/2543 200 OK
4007/7000   29/10/2543 200 OK
4008/7000   28/10/2543 200 OK
4009/7000   27/10/2543 200 OK
4010/7000   26/10/2543 200 OK
4011/7000   25/10/2543 200 OK
4012/7000   24/10/2543 200 OK
4013/7000   23/10/2543 200 OK
4014/7000   22/10/2543 200 OK
4015/7000   21/10/2543 200 OK
4016/7000   20/10/2543 200 OK
4017/7000   19/10/2543 200 OK
4018/7000   18/10/2543 200 OK
4019/7000   17/10/2543 200 OK
4020/7000   16/10/2543 200 OK
4021/7000   15/10/2543 200 OK
4022/7000   14/10/2543 200 OK
4023/7000   13/10/2543 200 OK
4024/7000   12/10/2543 200 OK
4025/7000   11/10/2543 200 OK
4026/7000   10/10/2543 200 OK
4027/7000   9/10/2543 200 OK
4028/7000   8/10/2543 200 OK
4029/7000   7/10/2543 200 OK
4030/7000   6/10/2543 200 OK
4031/7000   5/10/2543 200 OK
4032/7000   4/10/2543 200 OK
4033/7000   3/10/2543 200 OK
4034/7000   2/10/2543 200 OK
4035/7000   1/10/2543 200 OK
4036/7000   30/9/2543 200 OK
4037/7000   29/9/2543 200 OK
4038/7000   28/9/2543 200 OK
4039/7000   27/9/2543 200 OK
4040/7000   26/9/2543 200 OK
4041/7000   25/9/2543 200 OK
4042/7000   24/9/2543 200 OK
4043/7000   23/9/2543 200 OK
4044/7000   22/9/2543 200 OK
4045/7000   21/9/2543 200 OK
4046/7000   20/9/2543 200 OK
4047/7000   19/9/2543 200 OK
4048/7000   18/9/2543 200 OK
4049/7000   17/9/2543 200 OK
4050/7000   16/9/2543 200 OK
4051/7000   15/9/2543 200 OK
4052/7000   14/9/2543 200 OK
4053/7000   13/9/2543 200 OK
4054/7000   12/9/2543 200 OK
4055/7000   11/9/2543 200 OK
4056/7000   10/9/2543 200 OK
4057/7000   9/9/2543 200 OK
4058/7000   8/9/2543 200 OK
4059/7000   7/9/2543 200 OK
4060/7000   6/9/2543 200 OK
4061/7000   5/9/2543 200 OK
4062/7000   4/9/2543 200 OK
4063/7000   3/9/2543 200 OK
4064/7000   2/9/2543 200 OK
4065/7000   1/9/2543 200 OK
4066/7000   31/8/2543 200 OK
4067/7000   30/8/2543 200 OK
4068/7000   29/8/2543 200 OK
4069/7000   28/8/2543 200 OK
4070/7000   27/8/2543 200 OK
4071/7000   26/8/2543 200 OK
4072/7000   25/8/2543 200 OK
4073/7000   24/8/2543 200 OK
4074/7000   23/8/2543 200 OK
4075/7000   22/8/2543 200 OK
4076/7000   21/8/2543 200 OK
4077/7000   20/8/2543 200 OK
4078/7000   19/8/2543 200 OK
4079/7000   18/8/2543 200 OK
4080/7000   17/8/2543 200 OK
4081/7000   16/8/2543 200 OK
4082/7000   15/8/2543 200 OK
4083/7000   14/8/2543 200 OK
4084/7000   13/8/2543 200 OK
4085/7000   12/8/2543 200 OK
4086/7000   11/8/2543 200 OK
4087/7000   10/8/2543 200 OK
4088/7000   9/8/2543 200 OK
4089/7000   8/8/2543 200 OK
4090/7000   7/8/2543 200 OK
4091/7000   6/8/2543 200 OK
4092/7000   5/8/2543 200 OK
4093/7000   4/8/2543 200 OK
4094/7000   3/8/2543 200 OK
4095/7000   2/8/2543 200 OK
4096/7000   1/8/2543 200 OK
4097/7000   31/7/2543 200 OK
4098/7000   30/7/2543 200 OK
4099/7000   29/7/2543 200 OK
4100/7000   28/7/2543 200 OK
4101/7000   27/7/2543 200 OK
4102/7000   26/7/2543 200 OK
4103/7000   25/7/2543 200 OK
4104/7000   24/7/2543 200 OK
4105/7000   23/7/2543 200 OK
4106/7000   22/7/2543 200 OK
4107/7000   21/7/2543 200 OK
4108/7000   20/7/2543 200 OK
4109/7000   19/7/2543 200 OK
4110/7000   18/7/2543 200 OK
4111/7000   17/7/2543 200 OK
4112/7000   16/7/2543 200 OK
4113/7000   15/7/2543 200 OK
4114/7000   14/7/2543 200 OK
4115/7000   13/7/2543 200 OK
4116/7000   12/7/2543 200 OK
4117/7000   11/7/2543 200 OK
4118/7000   10/7/2543 200 OK
4119/7000   9/7/2543 200 OK
4120/7000   8/7/2543 200 OK
4121/7000   7/7/2543 200 OK
4122/7000   6/7/2543 200 OK
4123/7000   5/7/2543 200 OK
4124/7000   4/7/2543 200 OK
4125/7000   3/7/2543 200 OK
4126/7000   2/7/2543 200 OK
4127/7000   1/7/2543 200 OK
4128/7000   30/6/2543 200 OK
4129/7000   29/6/2543 200 OK
4130/7000   28/6/2543 200 OK
4131/7000   27/6/2543 200 OK
4132/7000   26/6/2543 200 OK
4133/7000   25/6/2543 200 OK
4134/7000   24/6/2543 200 OK
4135/7000   23/6/2543 200 OK
4136/7000   22/6/2543 200 OK
4137/7000   21/6/2543 200 OK
4138/7000   20/6/2543 200 OK
4139/7000   19/6/2543 200 OK
4140/7000   18/6/2543 200 OK
4141/7000   17/6/2543 200 OK
4142/7000   16/6/2543 200 OK
4143/7000   15/6/2543 200 OK
4144/7000   14/6/2543 200 OK
4145/7000   13/6/2543 200 OK
4146/7000   12/6/2543 200 OK
4147/7000   11/6/2543 200 OK
4148/7000   10/6/2543 200 OK
4149/7000   9/6/2543 200 OK
4150/7000   8/6/2543 200 OK
4151/7000   7/6/2543 200 OK
4152/7000   6/6/2543 200 OK
4153/7000   5/6/2543 200 OK
4154/7000   4/6/2543 200 OK
4155/7000   3/6/2543 200 OK
4156/7000   2/6/2543 200 OK
4157/7000   1/6/2543 200 OK
4158/7000   31/5/2543 200 OK
4159/7000   30/5/2543 200 OK
4160/7000   29/5/2543 200 OK
4161/7000   28/5/2543 200 OK
4162/7000   27/5/2543 200 OK
4163/7000   26/5/2543 200 OK
4164/7000   25/5/2543 200 OK
4165/7000   24/5/2543 200 OK
4166/7000   23/5/2543 200 OK
4167/7000   22/5/2543 200 OK
4168/7000   21/5/2543 200 OK
4169/7000   20/5/2543 200 OK
4170/7000   19/5/2543 200 OK
4171/7000   18/5/2543 200 OK
4172/7000   17/5/2543 200 OK
4173/7000   16/5/2543 200 OK
4174/7000   15/5/2543 200 OK
4175/7000   14/5/2543 200 OK
4176/7000   13/5/2543 200 OK
4177/7000   12/5/2543 200 OK
4178/7000   11/5/2543 200 OK
4179/7000   10/5/2543 200 OK
4180/7000   9/5/2543 200 OK
4181/7000   8/5/2543 200 OK
4182/7000   7/5/2543 200 OK
4183/7000   6/5/2543 200 OK
4184/7000   5/5/2543 200 OK
4185/7000   4/5/2543 200 OK
4186/7000   3/5/2543 200 OK
4187/7000   2/5/2543 200 OK
4188/7000   1/5/2543 200 OK
4189/7000   30/4/2543 200 OK
4190/7000   29/4/2543 200 OK
4191/7000   28/4/2543 200 OK
4192/7000   27/4/2543 200 OK
4193/7000   26/4/2543 200 OK
4194/7000   25/4/2543 200 OK
4195/7000   24/4/2543 200 OK
4196/7000   23/4/2543 200 OK
4197/7000   22/4/2543 200 OK
4198/7000   21/4/2543 200 OK
4199/7000   20/4/2543 200 OK
4200/7000   19/4/2543 200 OK
4201/7000   18/4/2543 200 OK
4202/7000   17/4/2543 200 OK
4203/7000   16/4/2543 200 OK
4204/7000   15/4/2543 200 OK
4205/7000   14/4/2543 200 OK
4206/7000   13/4/2543 200 OK
4207/7000   12/4/2543 200 OK
4208/7000   11/4/2543 200 OK
4209/7000   10/4/2543 200 OK
4210/7000   9/4/2543 200 OK
4211/7000   8/4/2543 200 OK
4212/7000   7/4/2543 200 OK
4213/7000   6/4/2543 200 OK
4214/7000   5/4/2543 200 OK
4215/7000   4/4/2543 200 OK
4216/7000   3/4/2543 200 OK
4217/7000   2/4/2543 200 OK
4218/7000   1/4/2543 200 OK
4219/7000   31/3/2543 200 OK
4220/7000   30/3/2543 200 OK
4221/7000   29/3/2543 200 OK
4222/7000   28/3/2543 200 OK
4223/7000   27/3/2543 200 OK
4224/7000   26/3/2543 200 OK
4225/7000   25/3/2543 200 OK
4226/7000   24/3/2543 200 OK
4227/7000   23/3/2543 200 OK
4228/7000   22/3/2543 200 OK
4229/7000   21/3/2543 200 OK
4230/7000   20/3/2543 200 OK
4231/7000   19/3/2543 200 OK
4232/7000   18/3/2543 200 OK
4233/7000   17/3/2543 200 OK
4234/7000   16/3/2543 200 OK
4235/7000   15/3/2543 200 OK
4236/7000   14/3/2543 200 OK
4237/7000   13/3/2543 200 OK
4238/7000   12/3/2543 200 OK
4239/7000   11/3/2543 200 OK
4240/7000   10/3/2543 200 OK
4241/7000   9/3/2543 200 OK
4242/7000   8/3/2543 200 OK
4243/7000   7/3/2543 200 OK
4244/7000   6/3/2543 200 OK
4245/7000   5/3/2543 200 OK
4246/7000   4/3/2543 200 OK
4247/7000   3/3/2543 200 OK
4248/7000   2/3/2543 200 OK
4249/7000   1/3/2543 200 OK
4250/7000   29/2/2543 200 OK
4251/7000   28/2/2543 200 OK
4252/7000   27/2/2543 200 OK
4253/7000   26/2/2543 200 OK
4254/7000   25/2/2543 200 OK
4255/7000   24/2/2543 200 OK
4256/7000   23/2/2543 200 OK
4257/7000   22/2/2543 200 OK
4258/7000   21/2/2543 200 OK
4259/7000   20/2/2543 200 OK
4260/7000   19/2/2543 200 OK
4261/7000   18/2/2543 200 OK
4262/7000   17/2/2543 200 OK
4263/7000   16/2/2543 200 OK
4264/7000   15/2/2543 200 OK
4265/7000   14/2/2543 200 OK
4266/7000   13/2/2543 200 OK
4267/7000   12/2/2543 200 OK
4268/7000   11/2/2543 200 OK
4269/7000   10/2/2543 200 OK
4270/7000   9/2/2543 200 OK
4271/7000   8/2/2543 200 OK
4272/7000   7/2/2543 200 OK
4273/7000   6/2/2543 200 OK
4274/7000   5/2/2543 200 OK
4275/7000   4/2/2543 200 OK
4276/7000   3/2/2543 200 OK
4277/7000   2/2/2543 200 OK
4278/7000   1/2/2543 200 OK
4279/7000   31/1/2543 200 OK
4280/7000   30/1/2543 200 OK
4281/7000   29/1/2543 200 OK
4282/7000   28/1/2543 200 OK
4283/7000   27/1/2543 200 OK
4284/7000   26/1/2543 200 OK
4285/7000   25/1/2543 200 OK
4286/7000   24/1/2543 200 OK
4287/7000   23/1/2543 200 OK
4288/7000   22/1/2543 200 OK
4289/7000   21/1/2543 200 OK
4290/7000   20/1/2543 200 OK
4291/7000   19/1/2543 200 OK
4292/7000   18/1/2543 200 OK
4293/7000   17/1/2543 200 OK
4294/7000   16/1/2543 200 OK
4295/7000   15/1/2543 200 OK
4296/7000   14/1/2543 200 OK
4297/7000   13/1/2543 200 OK
4298/7000   12/1/2543 200 OK
4299/7000   11/1/2543 200 OK
4300/7000   10/1/2543 200 OK
4301/7000   9/1/2543 200 OK
4302/7000   8/1/2543 200 OK
4303/7000   7/1/2543 200 OK
4304/7000   6/1/2543 200 OK
4305/7000   5/1/2543 200 OK
4306/7000   4/1/2543 200 OK
4307/7000   3/1/2543 200 OK
4308/7000   2/1/2543 200 OK
4309/7000   1/1/2543 200 OK
4310/7000   31/12/2542 200 OK
4311/7000   30/12/2542 200 OK
4312/7000   29/12/2542 200 OK
4313/7000   28/12/2542 200 OK
4314/7000   27/12/2542 200 OK
4315/7000   26/12/2542 200 OK
4316/7000   25/12/2542 200 OK
4317/7000   24/12/2542 200 OK
4318/7000   23/12/2542 200 OK
4319/7000   22/12/2542 200 OK
4320/7000   21/12/2542 200 OK
4321/7000   20/12/2542 200 OK
4322/7000   19/12/2542 200 OK
4323/7000   18/12/2542 200 OK
4324/7000   17/12/2542 200 OK
4325/7000   16/12/2542 200 OK
4326/7000   15/12/2542 200 OK
4327/7000   14/12/2542 200 OK
4328/7000   13/12/2542 200 OK
4329/7000   12/12/2542 200 OK
4330/7000   11/12/2542 200 OK
4331/7000   10/12/2542 200 OK
4332/7000   9/12/2542 200 OK
4333/7000   8/12/2542 200 OK
4334/7000   7/12/2542 200 OK
4335/7000   6/12/2542 200 OK
4336/7000   5/12/2542 200 OK
4337/7000   4/12/2542 200 OK
4338/7000   3/12/2542 200 OK
4339/7000   2/12/2542 200 OK
4340/7000   1/12/2542 200 OK
4341/7000   30/11/2542 200 OK
4342/7000   29/11/2542 200 OK
4343/7000   28/11/2542 200 OK
4344/7000   27/11/2542 200 OK
4345/7000   26/11/2542 200 OK
4346/7000   25/11/2542 200 OK
4347/7000   24/11/2542 200 OK
4348/7000   23/11/2542 200 OK
4349/7000   22/11/2542 200 OK
4350/7000   21/11/2542 200 OK
4351/7000   20/11/2542 200 OK
4352/7000   19/11/2542 200 OK
4353/7000   18/11/2542 200 OK
4354/7000   17/11/2542 200 OK
4355/7000   16/11/2542 200 OK
4356/7000   15/11/2542 200 OK
4357/7000   14/11/2542 200 OK
4358/7000   13/11/2542 200 OK
4359/7000   12/11/2542 200 OK
4360/7000   11/11/2542 200 OK
4361/7000   10/11/2542 200 OK
4362/7000   9/11/2542 200 OK
4363/7000   8/11/2542 200 OK
4364/7000   7/11/2542 200 OK
4365/7000   6/11/2542 200 OK
4366/7000   5/11/2542 200 OK
4367/7000   4/11/2542 200 OK
4368/7000   3/11/2542 200 OK
4369/7000   2/11/2542 200 OK
4370/7000   1/11/2542 200 OK
4371/7000   31/10/2542 200 OK
4372/7000   30/10/2542 200 OK
4373/7000   29/10/2542 200 OK
4374/7000   28/10/2542 200 OK
4375/7000   27/10/2542 200 OK
4376/7000   26/10/2542 200 OK
4377/7000   25/10/2542 200 OK
4378/7000   24/10/2542 200 OK
4379/7000   23/10/2542 200 OK
4380/7000   22/10/2542 200 OK
4381/7000   21/10/2542 200 OK
4382/7000   20/10/2542 200 OK
4383/7000   19/10/2542 200 OK
4384/7000   18/10/2542 200 OK
4385/7000   17/10/2542 200 OK
4386/7000   16/10/2542 200 OK
4387/7000   15/10/2542 200 OK
4388/7000   14/10/2542 200 OK
4389/7000   13/10/2542 200 OK
4390/7000   12/10/2542 200 OK
4391/7000   11/10/2542 200 OK
4392/7000   10/10/2542 200 OK
4393/7000   9/10/2542 200 OK
4394/7000   8/10/2542 200 OK
4395/7000   7/10/2542 200 OK
4396/7000   6/10/2542 200 OK
4397/7000   5/10/2542 200 OK
4398/7000   4/10/2542 200 OK
4399/7000   3/10/2542 200 OK
4400/7000   2/10/2542 200 OK
4401/7000   1/10/2542 200 OK
4402/7000   30/9/2542 200 OK
4403/7000   29/9/2542 200 OK
4404/7000   28/9/2542 200 OK
4405/7000   27/9/2542 200 OK
4406/7000   26/9/2542 200 OK
4407/7000   25/9/2542 200 OK
4408/7000   24/9/2542 200 OK
4409/7000   23/9/2542 200 OK
4410/7000   22/9/2542 200 OK
4411/7000   21/9/2542 200 OK
4412/7000   20/9/2542 200 OK
4413/7000   19/9/2542 200 OK
4414/7000   18/9/2542 200 OK
4415/7000   17/9/2542 200 OK
4416/7000   16/9/2542 200 OK
